date,close
1-Jan-46,1960.9
1-Jan-47,1939.4
1-Jan-48,2020
1-Jan-49,2008.9
1-Jan-50,2184
1-Jan-51,2360
1-Jan-52,2456.1
1-Jan-53,2571.4
1-Jan-54,2556.9
1-Jan-55,2739
1-Jan-56,2797.4
1-Jan-57,2856.3
1-Jan-58,2835.3
1-Jan-59,3031
1-Jan-60,3108.7
1-Jan-61,3188.1
1-Jan-62,3383.1
1-Jan-63,3530.4
1-Jan-64,3734
1-Jan-65,3976.7
1-Jan-66,4238.9
1-Jan-67,4355.2
1-Jan-68,4569
1-Jan-69,4712.5
1-Jan-70,4722
1-Jan-71,4877.6
1-Jan-72,5134.3
1-Jan-73,5424.1
1-Jan-74,5396
1-Jan-75,5385.4
1-Jan-76,5675.4
1-Jan-77,5937
1-Jan-78,6267.2
1-Jan-79,6466.2
1-Jan-80,6450.4
1-Jan-81,6617.7
1-Jan-82,6491.3
1-Jan-83,6792
1-Jan-84,7285
1-Jan-85,7593.8
1-Jan-86,7860.5
1-Jan-87,8132.6
1-Jan-88,8474.5
1-Jan-89,8786.4
1-Jan-90,8955
1-Jan-91,8948.4
1-Jan-92,9266.6
1-Jan-93,9521
1-Jan-94,9905.4
1-Jan-95,10174.8
1-Jan-96,10561
1-Jan-97,11034.9
1-Jan-98,11525.9
1-Jan-99,12065.9
1-Jan-00,12559.7
1-Jan-01,12682.2
1-Jan-02,12908.8
1-Jan-03,13271.1
1-Jan-04,13773.5
1-Jan-05,14234.2
1-Jan-06,14613.8
1-Jan-07,14873.7
1-Jan-08,14830.4
1-Jan-09,14418.7
1-Jan-10,14783.8
1-Jan-11,15020.6
1-Jan-12,15354.6
1-Jan-13,15583.3
1-Jan-14,15961.7
1-Jan-15,16348.9