"Nominal wage growth has been far below target in the recovery: Year-over-year change in private-sector nominal average hourly earnings, 2007-2016",,
From http://www.epi.org/nominal-wage-tracker/,,
,,
,All nonfarm employees,Production/nonsupervisory workers
Mar-07,3.59%,4.11%
Apr-07,3.27%,3.85%
May-07,3.73%,4.14%
Jun-07,3.81%,4.13%
Jul-07,3.45%,4.05%
Aug-07,3.49%,4.04%
Sep-07,3.28%,4.15%
Oct-07,3.28%,3.78%
Nov-07,3.27%,3.89%
Dec-07,3.16%,3.81%
Jan-08,3.11%,3.86%
Feb-08,3.09%,3.73%
Mar-08,3.08%,3.77%
Apr-08,2.88%,3.70%
May-08,3.02%,3.69%
Jun-08,2.67%,3.62%
Jul-08,3.00%,3.72%
Aug-08,3.33%,3.83%
Sep-08,3.23%,3.64%
Oct-08,3.32%,3.92%
Nov-08,3.64%,3.85%
Dec-08,3.58%,3.84%
Jan-09,3.58%,3.72%
Feb-09,3.24%,3.65%
Mar-09,3.13%,3.53%
Apr-09,3.22%,3.29%
May-09,2.84%,3.06%
Jun-09,2.78%,2.94%
Jul-09,2.59%,2.71%
Aug-09,2.39%,2.64%
Sep-09,2.34%,2.75%
Oct-09,2.34%,2.63%
Nov-09,2.05%,2.67%
Dec-09,1.82%,2.50%
Jan-10,1.95%,2.61%
Feb-10,2.00%,2.49%
Mar-10,1.77%,2.27%
Apr-10,1.81%,2.43%
May-10,1.94%,2.59%
Jun-10,1.71%,2.53%
Jul-10,1.85%,2.47%
Aug-10,1.75%,2.41%
Sep-10,1.84%,2.30%
Oct-10,1.88%,2.51%
Nov-10,1.65%,2.23%
Dec-10,1.74%,2.07%
Jan-11,1.92%,2.17%
Feb-11,1.87%,2.12%
Mar-11,1.87%,2.06%
Apr-11,1.91%,2.11%
May-11,2.00%,2.16%
Jun-11,2.13%,2.00%
Jul-11,2.26%,2.31%
Aug-11,1.90%,1.99%
Sep-11,1.94%,1.93%
Oct-11,2.11%,1.77%
Nov-11,2.02%,1.77%
Dec-11,1.98%,1.77%
Jan-12,1.75%,1.40%
Feb-12,1.88%,1.45%
Mar-12,2.10%,1.76%
Apr-12,2.01%,1.76%
May-12,1.83%,1.39%
Jun-12,1.95%,1.54%
Jul-12,1.77%,1.33%
Aug-12,1.82%,1.33%
Sep-12,1.99%,1.44%
Oct-12,1.51%,1.28%
Nov-12,1.90%,1.43%
Dec-12,2.20%,1.74%
Jan-13,2.15%,1.89%
Feb-13,2.10%,2.04%
Mar-13,1.93%,1.88%
Apr-13,2.01%,1.73%
May-13,2.01%,1.88%
Jun-13,2.13%,2.03%
Jul-13,1.91%,1.92%
Aug-13,2.26%,2.18%
Sep-13,2.04%,2.17%
Oct-13,2.25%,2.27%
Nov-13,2.24%,2.32%
Dec-13,1.90%,2.16%
Jan-14,1.94%,2.31%
Feb-14,2.14%,2.45%
Mar-14,2.18%,2.40%
Apr-14,1.97%,2.40%
May-14,2.13%,2.44%
Jun-14,2.04%,2.34%
Jul-14,2.09%,2.43%
Aug-14,2.21%,2.48%
Sep-14,2.04%,2.27%
Oct-14,2.03%,2.27%
Nov-14,2.11%,2.26%
Dec-14,1.82%,1.87%
Jan-15,2.23%,2.01%
Feb-15,2.06%,1.71%
Mar-15,2.18%,1.90%
Apr-15,2.34%,2.00%
May-15,2.34%,2.14%
Jun-15,2.04%,1.99%
Jul-15,2.29%,2.04%
Aug-15,2.32%,2.08%
Sep-15,2.40%,2.13%
Oct-15,2.52%,2.36%
Nov-15,2.39%,2.21%
Dec-15,2.60%,2.61%
Jan-16,2.50%,2.50%
Feb-16,2.26%,2.40%
Mar-16,2.25%,2.30%
,,
"*Nominal wage growth consistent with the Federal Reserve Board's 2 percent inflation target, 1.5 percent productivity growth, and a stable labor share of income. ",,
Source: EPI analysis of Bureau of Labor Statistics Current Employment Statistics public data series ,,